,2.0,16.0,5.0,0.0,
lake,4.0,0.0,20.0,0.0,
recommending,0.0,0.0,0.0,0.0,
day,7.0,3.0,2.0,0.0,
add,0.0,0.0,6.0,0.0,
helen mirren,22.0,5.0,0.0,0.0,
citizen,2.0,5.0,1.0,0.0,
details,4,0,0,0,
eateries,0.0,0.0,0.0,0.0,
government,3.0,1.0,1.0,0.0,
historic,1.0,0.0,0.0,0.0,
five,0.0,0.0,0.0,0.0,
know,0.0,0.0,0.0,0.0,
immediately,0.0,0.0,0.0,0.0,
prominent,0.0,0.0,0.0,0.0,
r.r.,1,2,4,0,
success,3.0,4.0,13.0,0.0,
vibrant,0.0,0.0,0.0,0.0,
loses,0.0,0.0,0.0,0.0,
martin,11,9,19,0,
become,0.0,12.0,1.0,0.0,
starred,0.0,0.0,0.0,0.0,
works,1.0,1.0,0.0,0.0,
emmy,2.0,0.0,0.0,0.0,
famed,0.0,0.0,0.0,0.0,
classical,0.0,0.0,0.0,0.0,
daylight,5.0,0.0,0.0,0.0,
chicago and mamma,0.0,0.0,0.0,0.0,
home,10.0,2.0,17.0,0.0,
died,1.0,1.0,1.0,0.0,
happens,0.0,0.0,0.0,0.0,
chelsea handler,7.0,0.0,0.0,0.0,
broad,0.0,0.0,3.0,0.0,
tmz,0.0,0.0,3.0,0.0,
philosopher,0.0,0.0,0.0,0.0,
courtyards,0.0,0.0,3.0,0.0,
breakout,10.0,1.0,2.0,0.0,
bustling,0.0,0.0,0.0,0.0,
gabled,0.0,0.0,0.0,0.0,
leader,5.0,2.0,5.0,0.0,
deciding,0.0,0.0,0.0,0.0,
blowing,0.0,0.0,1.0,0.0,
medieval,0.0,0.0,0.0,0.0,
thoroughfare,0.0,0.0,1.0,0.0,
astounding,0.0,0.0,0.0,0.0,
host,3.0,2.0,0.0,0.0,
go back,0.0,0.0,0.0,0.0,
stage,8.0,5.0,4.0,0.0,
justin,2.0,0.0,1.0,0.0,
getting,0.0,0.0,0.0,0.0,
universe,1.0,3.0,6.0,0.0,
beaches before,0.0,0.0,0.0,0.0,
wozniak,7.0,0.0,1.0,0.0,
more than casting,0,0,0,0,
tongue,1.0,0.0,1.0,0.0,
executives,5.0,7.0,0.0,0.0,
equally,0.0,0.0,0.0,0.0,
creativity,0.0,5.0,0.0,0.0,
terry,48.0,1.0,1.0,0.0,
washington,5.0,0.0,62.0,0.0,
brands,0.0,5.0,5.0,0.0,
weather,0.0,0.0,0.0,0.0,
hit the streets,0.0,0.0,0.0,0.0,
museum,2.0,0.0,2.0,0.0,
entire life,0.0,0.0,0.0,0.0,
amsterdam has the buzz,0.0,0.0,0.0,0.0,
ireland to america,0.0,0.0,0.0,0.0,
piazzas and paintings,0.0,0.0,0.0,0.0,
shock waves,0.0,0.0,1.0,0.0,
function,1.0,1.0,1.0,0.0,
michelangelo,0.0,0.0,1.0,0.0,
north,2.0,0.0,12.0,0.0,
hazardous,0.0,0.0,0.0,0.0,
delivery,1.0,1.0,2.0,0.0,
hall—to,0.0,0.0,0.0,0.0,
valuation,0.0,1.0,0.0,0.0,
assassinated,2.0,0.0,0.0,0.0,
whether,0.0,0.0,0.0,0.0,
gravitational,0.0,0.0,0.0,0.0,
official,5.0,0.0,0.0,0.0,
signed,0.0,0.0,0.0,0.0,
kathleen,1.0,0.0,6.0,0.0,
excitement,0.0,0.0,0.0,0.0,
manifesto,1.0,0.0,0.0,0.0,
cake,1.0,2.0,1.0,0.0,
demonstrate,3.0,6.0,0.0,0.0,
minutes,0.0,0.0,0.0,0.0,
mechanics,2.0,0.0,1.0,0.0,
irish,1.0,0.0,1.0,0.0,
boulevards,0.0,6.0,2.0,0.0,
guest star,3.0,2.0,1.0,0.0,
new york city is defined,0.0,0.0,0.0,0.0,
rubble,0.0,0.0,2.0,0.0,
nouvel,0.0,0.0,0.0,0.0,
us$182,0.0,0.0,0.0,0.0,
education,0.0,1.0,0.0,0.0,
eric,0.0,0.0,2.0,0.0,
inc,1.0,11.0,1.0,0.0,
renowned,0.0,0.0,0.0,0.0,
46,0.0,0.0,0.0,0.0,
birthday party,0.0,0.0,0.0,0.0,
43,1.0,0.0,0.0,0.0,
40,0.0,0.0,0.0,0.0,
old,6.0,2.0,3.0,0.0,
book,1.0,0.0,2.0,0.0,
popping,0.0,0.0,0.0,0.0,
star,18.0,23.0,21.0,0.0,
monday,0.0,0.0,0.0,0.0,
tides,3,5,1,0,
amsterdam has its allure,0.0,0.0,0.0,0.0,
june,1.0,0.0,5.0,0.0,
iwork,0.0,9.0,0.0,0.0,
came,1.0,0.0,0.0,0.0,
friends,8.0,1.0,7.0,0.0,
using,0.0,2.0,1.0,0.0,
samsung,1.0,14.0,3.0,0.0,
stars like matthew,0.0,0.0,0.0,0.0,
frontier,1,10,9,0,
gardens,0.0,2.0,10.0,0.0,
casual,0.0,0.0,0.0,0.0,
extras,3.0,0.0,0.0,0.0,
more than a mile,0.0,0.0,0.0,0.0,
richardson,0.0,0.0,14.0,0.0,
indirectly,0.0,0.0,0.0,0.0,
whitney,0.0,7.0,14.0,0.0,
